|itemID|title|author|language|collection|isbn|publisher|description|main topic|subtopics
55856|37730|Der letzte Mensch|Jean-Baptiste Cousin de Grainville||||Matthes & Seitz Berlin||FBC|
55857|71189|Der letzte Player|Chris Bradford||||dtv Verlagsgesellschaft||YFC|"5AN|5AR"
55865|5997|Der römische Geheimbund|Margit Auer||||Emons Verlag||YF|
55871|62320|Der sündige Kurs der TINA-THERESA|Hein Bruns||||epubli||FV|
55872|38761|Der tote Magier|Aurelia Floss||||Books on Demand||FMB|"FM|FMB|FMH"
55878|15173|Der verhüllte Gott|Sabine Dau||||Books on Demand||FM|3C
55879|67878|Der verrückte Erfinderschuppen|Lena Hach||||Beltz GmbH, Julius||YF|
55882|18898|Der verwunschene Gott|Laura Labas||||Drachenmond-Verlag||YFHR|"FMB|FMR"
55885|46643|Der wasserdichte Willibald|Rudolf Herfurtner||||dtv Verlagsgesellschaft||YBCS|"5AH|5AL|5HRB|YFB|YFQ"
55886|55022|Der weiße Tod|Stanislaw Lem||||Suhrkamp Verlag AG||FLP|"1DTP|FLS|FM|FYB|FYT"
55894|46944|Descent Into Hell (Hardback)|Charles Williams||||Benediction Books||FL|
55897|27503|Desperate March|Carolyn Koster Yost||||Westbow Press||YFK|"5PGM|YNM"
55899|77721|Desta and King Solomon's Coin of Magic and Fortune|Getty T. Ambau||||Falcon Press||FM|
55914|2269|Destiny Rising|L. J. Smith||||HARPERCOLLINS||YFH|YFM
55923|70540|Detours and Designs|Matt Fazio, Josh Malacki||||Torchflame Books||YXQF|YFB
55926|30335|Devices|Floro Pama||||Xlibris AU||FL|
55927|7788|Devil Dancers|Robert E. Waters||||eSpec Books||FLR|
55930|8687|Devil's Highway|Simon Bestwick||||Snowbooks Ltd||FMW|
55937|53489|Diablo: Das Königreich der Schatten|Richard A. Knaak||||Panini Verlags GmbH||FYT|"5AQ|FL|FM|FYV"
55938|64534|Diablo: Das Vermächtnis des Blutes|Richard A. Knaak||||Panini Verlags GmbH||FYT|"5AQ|FL|FM|FYV"
55939|25763|Diablo: Der Mond der Spinne|Richard A. Knaak||||Panini Verlags GmbH||FYT|"5AQ|FL|FM|FYV"
55940|3159|Diablo: Sündenkrieg 1 - Geburtsrecht|Richard A. Knaak||||Panini Verlags GmbH||FYT|"5AN|FM|FYV"
55961|63135|Diary of a Wimpy Kid 07. The Third Wheel|Jeff Kinney||||Penguin Books Ltd (UK)||YNUC|"5AJ|X|YFB|YFM|YFQ|YFS"
55965|61606|Diary of an American Witch|Heather Stowe||||AuthorHouse||FM|
55978|49107|Die Akimuden|Viktor Jerofejew||||FISCHER Taschenbuch||FBA|"1DTA|FUP|FYT"
55981|7200|Die Androiden|Walter Guttropf||||Books on Demand||FLG|"FLS|FLU"
55990|10809|Die Ausserirdischen|A M Reda, AM REDA||||Books on Demand||FB|
56007|48776|Die Bloggerbande...falsches Spiel am Strand|||||Lingen, Helmut Verlag||YFC|"5AH|YBL"
56008|45002|Die Bloggerbande...im Filmstar-Fieber|Birgit Ebbert||||Lingen, Helmut Verlag||YFC|"5AH|YBL"
56010|75021|Die Brautprinzessin|William Goldman||||Klett-Cotta Verlag||FBA|"FJ|FM|FYT|YFJ"
56037|17387|Die Chroniken der drei Kriege Band 2- Großdruck (1)|S.A. Lee||||AAVAA Verlag UG||FM|
56039|12515|Die Chroniken vom Anbeginn 01 - Das Buch Emerald|John Stephens||||cbj||YFC|"5AN|YFC|YFH"
56040|42692|Die Chroniken von Araluen - Das Vermächtnis des Waldläufers|John Flanagan||||cbj||YFC|"5AM|YFC|YFH"
56041|74786|Die Chroniken von Araluen 10 - Die Schwertkämpfer von Nihon-Ja|John Flanagan||||cbj||YFC|"5AM|YFC|YFH"
56051|70481|Die Drachenwandler 1: Fire in your Eyes|Annika Hanke||||Carlsen Verlag GmbH||YFHR|"5AQ|5LKE|6FG|FMR|FMX|FRT|YFHR"
56052|42577|Die Drachenwandler 2: Fire in your Blood|Annika Hanke||||Carlsen Verlag GmbH||FRT|"5AQ|5LKE|6FG|FMR|FMX|FRT|YFHR"
56054|73126|Die Dreißig Grenze|Edgar Ric Burroughs||||Books on Demand||FLC|FLQ
56056|1699|Die Dunkle Zeit 03. Das Zeichen des Dunklen Gottes|Markus Heitz||||Piper Verlag GmbH||FMB|FMH
56057|45684|Die Dunkle Zeit 04. Unter den Augen Tzulans|Markus Heitz||||Piper Verlag GmbH||FMB|FMH
56061|18833|Die Edelstein-Girlies 3 - Zauberhafte Geheimnisse|Roswitha Gruler||||net-Verlag||YF|5AJ
56066|34881|Die Einhornrakete|Alexandra Dichtler||||Der Verlag in Farbe und Bunt||FM|"5AD|YFH|YFP"
56083|58302|Die Fabelmacht-Chroniken (1). Flammende Zeichen|Kathrin Lange||||Arena Verlag GmbH||YFHD|"5AQ|YFM"
56091|75746|Die Flammen der Dämmerung|Peter V. Brett||||Heyne Taschenbuch||FMB|FYT
56101|31371|Die Gabe der Könige|Robin Hobb||||Penhaligon||FMB|
56110|22944|Die Geißel des Himmels|Ursula K. LeGuin||||Edition Phantasia||FL|
56111|60813|Die Geliebte des Magiers|Kris Stone, Chrestina Steiner||||Books on Demand||FMK|"FM|FMK"
56115|36526|Die Geschichte von der Arche Noah|Maria van Eickels||||Butzon & Bercker||YBCS|"5PGM|JBSP1|QRMF12"
56122|9742|Die Greifen-Saga (Band 1): Die Ratten von Chakas|C. M. Spoerri||||Sternensand Verlag||FMB|FN
56125|77614|Die Grimm-Chroniken (Band 20): Der Spiegelball|Maya Shepherd||||Sternensand Verlag||FM|"FM|FN"
56128|51705|Die Götter von Dara|Ken Liu||||Knaur Taschenbuch||FMB|"FBA|FYT"
56134|23417|Die Herren der Unterwelt: Schwarzes Versprechen|Gena Showalter||||MIRA Taschenbuch|||"FM|FMR"
56135|58875|Die Herren der Wüste|Mortimer M. Müller||||Books on Demand||FMB|"5AQ|5JA|FJ"
56137|15015|Die Heuhaufen-Halunken - Volle Faust aufs Hühnerauge|Sven Gerhardt||||cbt||YF|"5AJ|3MR"
56150|62176|Die Irrlichter|Markus Heitkamp, Christian Lange, Peter Stohl, Mic||||Verlag Torsten Low||FMR|"FMB|FMH|FMX|FYB"
56153|23710|Die Jahresprinzessin 1: Blüte der Ewigkeit|Leni Wambach||||Carlsen Verlag GmbH||YFHR|"5AQ|5LKE|5PS|5PSL|6FG|FMR|FRT|YFHR|YFM"
56168|5130|Die Klinge des Waldes|Royce Buckingham||||Blanvalet Taschenbuchverl||FMB|"FBA|FMB|FYT"
56172|54733|Die Kreuzworträtselknacker - ab 8 Jahren (Band 3)|Janine Eck, Kristina Offermann||||Bibliograph. Instit. GmbH||YPCA23|"5AJ|4CD|WDKC|YBL|YNVP|YPCA23"
56174|19343|Die Krone von Lytar|Richard Schwartz||||Piper Verlag GmbH||FMB|
56179|9427|Die Königin der Kondore|Priska Schmid||||Books on Demand||FM|
56180|47805|Die Königin der Schatten|Erika Johansen||||Heyne Taschenbuch||FMB|"FL|FYT"
56194|66392|Die Macht des Schmetterlings|Matt Dickinson||||Beltz GmbH, Julius||YF|5AQ
56200|2246|Die Midkemia-Saga 1|Raymond Feist||||Blanvalet Taschenbuchverl||FMB|FYT
56201|78376|Die Midkemia-Saga 4|Raymond Feist||||Blanvalet Taschenbuchverl||FMB|
56209|39657|Die Mystifikationen der Sophie Silber|Barbara Frischmuth||||Aufbau TB||FM|"1DFA|1DFA-AT-M|FBA|FMX"
56212|8491|Die Nacht des T-Rex|Thomas Brezina||||edition a GmbH||YFB|YBL
56213|28291|Die Nacht, in der Mr Singh verschwand|Sabine Ludwig||||Oetinger Taschenbuch GmbH||YFCF|"5AL|1DDU-GB-S|YFC"
56221|30788|Die Perelandra-Trilogie|Clive Staples Lewis, C. S. Lewis||||Brendow Verlag||FM|FL
56225|43234|Die Phileasson-Saga - Elfenkrieg|Bernhard Hennen, Robert Corvus||||Heyne Taschenbuch||FMB|5AX
56230|50967|Die Prinzessin von Atlantis|Freya von Korff||||Books on Demand||FMX|"5AN|YFH"
56233|45563|Die Pyramide der 1000 Gefahren|Fabian Lenk||||Ravensburger Verlag||YFCA|"5AL|5AR|XQG"
56237|12362|Die Reise auf der Morgenröte / Der silberne Sessel|Clive Staples Lewis, C. S. Lewis||||Ueberreuter Verlag||YFA|"YFA|YFH|YFK"
56245|2531|Die Ring Chroniken 1 - Begabt|Erin Lenaris||||Tagträumer Verlag||FDB|"5AQ|5AX|FDK|FMW|FRM|YFE"
56248|64331|Die Saat - The Strain|Guillermo Del Toro, Chuck Hogan||||Heyne Taschenbuch||FKC|"1KBB-US-NAK|FM|FYT|XQM"
56250|49899|Die Sache mit dem Glücklichsein|Jason Reynolds||||dtv Verlagsgesellschaft||YXHL|"5AQ|1KBB-US-NAKC|1KBB-US-NAKCB|FXB|YFB|YFM|YXF|YXG|YXHL"
56258|7758|Die Schlangenkrieg-Saga 3|Raymond Feist||||Blanvalet Taschenbuchverl||FMB|"FM|FYT"
56259|13098|Die Schlangenkrieg-Saga 4|Raymond Feist||||Blanvalet Taschenbuchverl||FMB|"FM|FMB|FYT"
56263|34398|Die Schwarze Katze - Regelwerk|Carolina Möbis, Jens Ullrich, Ingelis Wipfelder||||Ulisses Spiel & Medien||WDHW|"FMB|WDHW"
56265|69995|Die Schwestern des Lichts - Das Schwert der Wahrheit|Terry Goodkind||||Blanvalet Taschenbuchverl||FBA|"FBA|FMB|FYT"
56270|1523|Die Sehnsucht der Wölfe|Sarah Baines||||epubli||FM|
56271|29539|Die Siebenwindküste Albernia & der Windhag|Daniel Simon Richter||||Ulisses Spiel & Medien||WDHW|"FMB|WDHW"
56276|38041|Die Spione von Myers Holt - Eine gefährliche Gabe|Monica Meira Vaughan||||dtv Verlagsgesellschaft||YFC|"5AM|1DDU"
56282|77676|Die Stadt (Finsterzeit 3)|Sandra Toth||||FeuerWerke Verlag||FLQ|"5JA|1DFG|FM|3MRB"
56290|54468|Die Suche nach dem Portal|M.B. Fuchs||||Nova MD||YFHR|
56297|33551|Die Tiefen deines Herzens|Antje Szillat||||DTV||YFM|5AQ
56299|72732|Die Tochter des Vampirjägers|Sabrina Kiehl||||TWENTYSIX||FMR|"FMX|3MRB"
56300|53768|Die Todeskönigin|Sarah Beth Durst||||Penhaligon||FBA|"FBA|FMB|FYT"
56301|37180|Die Totenbändiger. Staffel 1: Äquinoktium. Vollmondnächte. Band 3-4|Nadine Erdmann||||Lindwurm Verlag||FMX|
56316|29746|Die Vomeriker|Reed Isberg||||Books on Demand||FL|
56321|11906|Die Wassertropfenreise|Otmar Grissemann||||G & G Verlagsgesellschaft||YBL|"5AC|2ACG"
56322|1380|Die Weisheit des Ahmad Shah: Eine afghanische Legende|Palwasha Bazger Salam||||HOOPOE BOOKS||YFJ|
56327|31873|Die Welt der 1000 Abenteuer - Das Vermächtnis des Zauberers|Jens Schumacher||||Mantikore Verlag||WDHW|"FMB|YF"
56334|13236|Die Welten-Trilogie, Band 2: Verloren zwischen den Welten|Sara Oliver||||Ravensburger Verlag||YFM|"5AQ|5JA|1DFG|FDK|YFE|YFG|YFH|YFM"
56335|28738|Die Welten-Trilogie, Band 3: Zerrissen zwischen den Welten|Sara Oliver||||Ravensburger Verlag||YFM|"5AQ|1DFG|FDK|YFE|YFG|YFH|YFM"
56336|382|Die Weltportale (Band 3)|B. E. Pfeiffer||||Sternensand Verlag||FMB|FN
56339|49844|Die Wilden Fußballkerle 09. Joschka, die siebte Kavallerie|Joachim Masannek||||dtv Verlagsgesellschaft||YXHB|"5AJ|YFR|YXHB"
56340|18272|Die Wilden Fußballkerle 13. Markus der Unbezwingbare|Joachim Masannek||||dtv Verlagsgesellschaft||YXHB|"5AJ|5HRB|1DFG|YFR|YXHB"
56341|74672|Die Wilden Hühner. Mein Tagebuch|Cornelia Funke||||Dressler Cecilie||WZSN|"5AL|5JA|YBL|YFM|YFQ"
56348|38640|Die Wölfe von Haven - Großdruck|I. H. Terazuma||||AAVAA Verlag UG||FMR|
56353|40953|Die Zeit der Hochkönige - Ehre - Fünftes Buch|Luca C. Heinrich||||Books on Demand||FMB|
56358|11882|Die Zwangsjacke|Jack London||||LIWI Literatur- und Wissenschaftsverlag||FBC|"FC|FHQ|FL|FR|FX"
56365|26974|Die besten 33 Kreativ-Kratzelbilder für Jungs|||||Loewe Verlag GmbH||YBGC|"5AF|5HP|5JB|4CA|WDM|WFA|WFX|YBGC|YBLD|YBLH|YNA|YZG|YZS"
56372|77424|Die besten Schülerausreden der Welt|||||Loewe Verlag||YNU|"5AH|5AR|4CA|FMK|JNL|JNLB|JNS|WD|WH|WHX|YNUC|YNV|YPWC2|YZG"
56378|40421|Die dicke Helena|Inge Wolf||||Rowohlt Repertoire||YXJ|"5AM|VFJJ|YFB|YFY|YXD|YXE|3MPQX"
56379|69132|Die drei !!! 18: VIP-Alarm (drei Ausrufezeichen)|Maja von Vogel||||Carlsen Verlag GmbH||YFCF|"5AL|YFB"
56386|78309|Die drei ??? Kids 46 - Jagd auf das Dino-Ei (drei Fragezeichen)|Ulf Blanck||||dtv Verlagsgesellschaft||YFCF|"5AJ|1KBB-US-WPC"
56387|19990|Die drei ??? Kids 53 - Geheimnis der Tiere (drei Fragezeichen)|Ulf Blanck||||dtv Verlagsgesellschaft||YFCF|"5AJ|1KBB-US-WPC"
56388|42079|Die drei ??? Kids 55. Der schwarze Joker (drei Fragezeichen)|Boris Pfeiffer||||Carlsen Verlag GmbH||YFCF|"5AJ|YFC|YFQ"
56390|62801|Die drei ???: und der verschwundene Schatz / Die Rache des Untoten (Doppelband) (Drei Fragezeichen)|Robert Arthur, Marco Sonnleitner||||Carlsen Verlag GmbH||YFCF|"5AL|YF|YFC"
56403|49468|Die fünf Tore 04. Höllenpforte|Anthony Horowitz||||Loewe Verlag GmbH||YFCB|"5AN|YFB|YFD|YFH"
56404|38386|Die fünfhundert Millionen der Begum|Jules Verne||||TP Verone Publishing||FB|
56412|17908|Die große Stille|Ted Chiang||||Golkonda Verlag||FYB|"FL|FYB"
56415|34884|Die heldenhafte Lübecker Sheltie-Boygroup|Gerhard Jeschull||||Books on Demand||FM|
56424|39394|Die letzte Fahrt der Enora Time|Andreas Gruber||||LUZIFER-Verlag||FDB|"1D|FKM|FLM|FLP|FLQ|FLU|FMX"
56438|9159|Die neuen Kai Krieger 4: Der Runenkrieg|Joe Dever||||Mantikore Verlag||FM|
56440|29212|Die rubinrote Königin|Royce Buckingham||||Blanvalet Taschenbuchverl||FM|
56442|56422|Die schwarze Maske|Eyal Kless||||Penhaligon||FLQ|"FBA|FLQ|FMT|FYT"
56443|32791|Die schwarze Schar|Nicholas Eames||||Heyne Taschenbuch||FMB|
56445|5279|Die schöne Frau Balsam|Bernd Hagenbusch||||epubli||FV|
56446|14912|Die schönsten Arena Mandalas für den Kindergarten|Johannes Rosengarten||||Arena Verlag GmbH||YBL|5AF
56448|56421|Die schönsten Kindergarten Mandalas. Malen, Träumen, Entspannen|Johannes Rosengarten||||Arena Verlag GmbH||YBGC|"5AD|YBL"
56450|13817|Die schönsten Mandalas für Kinder|Andreas Abato||||Books on Demand||YNPH|
56454|50624|Die seltsame Geschichte des Alejandro Ruiz|Stan Wagner||||Nova MD||FR|"FMH|FMK|FXL"
56457|74195|Die silberne Königin|Katharina Seck||||Lübbe||FMB|"5HRD|5JA|FM|FMB"
56459|44810|Die superschlauen Sudokuknacker - ab 8 Jahren (Band 8)|Kristina Offermann, Janine Eck||||Bibliograph. Instit. GmbH||WDKN|"5AJ|4CD|WDKN|YBL|YNV|YPMF"
56461|72807|Die verborgene Seite des Mondes|Antje Babendererde||||Arena||YFM|
56467|36725|Die wilden Fußballkerle - Jojo, der mit der Sonne tanzt|Joachim Masannek||||DTV||YFR|"5AJ|YXHB"
56468|524|Die wilden Fußballkerle - Marlon, die Nummer 10|Joachim Masannek||||DTV||YFR|"5AJ|YXHB"
56469|76690|Die wilden Fußballkerle - Raban der Held|Joachim Masannek||||DTV||YFR|"5AJ|YXHB"
56491|73218|Dinosaurier Stickern Rätseln Malen|||||Schwager und Steinlein||YNNB1|"5AF|1A|YBG|YBGC|YBL|YNNA|YNNB1|YNNB2|YNNB3|YNNC|YNVP|3B"
56495|41615|Direct Descent|Frank Herbert||||WordFire Press LLC||FL|
56501|17866|Disney Cars 3: 1000 Sticker|||||Nelson Verlag||YBCH|"5AD|YBG|YBL|YF"
56505|70468|Disney Cars Kindergartenalbum|||||Panini Verlags GmbH||WZG|"5AC|YBL|YDA|YZG"
56511|35361|Disney Die Eiskönigin Mein Schulstartblock: Zählen und Rechnen|||||Ravensburger Verlag||YBG|"5AG|5HKB|YBG|YBL|YNTM"
56513|54506|Disney Die Eiskönigin: Adventskalender|The Walt Disney Company||||Ravensburger Verlag||YF|"5AJ|5HPD"
56515|16687|Disney Die Eiskönigin: Zauberhafter Sticker- und Malspaß|Panini||||Panini Verlags GmbH||YBCH|"5AC|5AF|YBCH|YBGC|YBL"
56519|51094|Disney Eiskönigin: Mein Fenstersticker-Spaß|||||Nelson Verlag||YBLH|"5AD|5LC|4CA|YBG|YBLH|YBLL"
56537|48597|Disney Prinzessin - Mandalas|Panini||||Panini Books||YBGC|"5AC|YBCH|YBG"
56553|56184|Disney: Gravity Falls Pining Away|||||Hachette Book Group USA||YF|5AG
56554|36484|Disney: Malen nach Zahlen|||||Nelson||YBG|"5AD|YBGC"
56560|63979|Divano, T1 : Ascension|David Royer||||Nats Éditions||FKW|
56575|70511|Division Facts That Stick: Help Your Child Master the Division Facts for Good in Just Ten Weeks|Kate Snow||||WELL TRAINED MIND PR||YNTM|
56589|43562|Doctor Proctor's Fart Powder: The Great Gold Robbery|Jo Nesbo||||Simon & Schuster Ltd||YFB|
56596|41813|Doctor Who: Silhouette (12th Doctor Novel)|Justin Richards||||Ebury Publishing||FL|
56599|33958|Doctor Who: Zeitreisen|Cecilia Ahern, Stella Duffy, Jake Arnott, Jenny T.||||Cross Cult||FLS|"FLG|FLS"
56604|53299|Dog Diaries #13|Kate Klimo, Tim Jessell||||Random House USA Inc||YF|
56609|27620|Dog Street|Ward Rothbury||||Virtualbookworm.com Publishing||FMX|
56625|56531|Don't Judge A Girl By Her Cover|Ally Carter||||Hachette Children's Group||YFC|
56635|3593|Don't You Know There's a War On?|Avi||||HARPERCOLLINS||YFT|1KBB
56637|8778|Donald's New Clothes|Rob Kinmont||||Good Word Publishing||FUP|
56639|35327|Donnerseelen|Erik Kellen, Mira Valentin||||Books on Demand||FMB|FN
56641|79052|Donut the Destroyer|Sarah Graley||||Scholastic US||XADC|"5AJ|YFB|YFQ"
56643|73635|Doomsday|R. L. Gemmill||||Cottingham-McMasters Publishing House||YFH|YNX
56650|5626|Dormant Enhancement|Jack Richards||||iUniverse||FL|
56652|320|Dorothy Must Die|Danielle Paige||||HarperCollins Publishers Inc||YFH|
56657|78957|Dot to Hot|Buzzpop||||LITTLE BEE BOOKS||YBG|"YFA|YFM"
56663|1165|Double Fault|Lionel Shriver||||Harper Perennial||FXM|
56664|26013|Double Felix|Sally Harris||||Wacky Bee Books||YFC|
56672|67736|Doug Unplugged|Dan Yaccarino||||DRAGONFLY BOOKS||YFS|
56692|25549|Drachenfeuer & Wolfsgeheul|Lynja Yadeka||||epubli||FM|
56695|73488|Drachenglut|Jonathan Stroud||||cbt||FYT|"5AN|5JB|1DDU|1DDU-GB-E|FM|FYT|YFC|YFD|YFH|YFJ|YXF"
56701|48279|Drachenwut (Enchanted 3)|Jess A. Loup||||Carlsen Verlag GmbH||FM|"5AX|5JA|FMM|FMR|FMX|FN|FR|FRD|FXB|YFH|YFHR"
56715|23266|Dragon Born|Christopher Lee||||Trafford Publishing||FMW|
56717|74484|Dragon Drool|C. A. Casey||||Bedazzled Ink Publishing Company||YFH|
56727|23912|Dragon Sibling Rivalry: Help Your Dragons Get Along. A Cute Children Stories to Teach Kids About Sib|Steve Herman||||LIGHTNING SOURCE INC||YXE|YF
56733|5112|Dragondrums|Anne Mccaffrey||||ALADDIN||YFH|
56741|6639|Dragons & Dinosaurs|Timothy Martin||||Trafford Publishing||FM|
56746|76708|Dragonsinger|Anne McCaffrey||||ALADDIN||YFH|
56747|60372|Dragonsong|Anne McCaffrey||||ALADDIN||YFH|
56752|55071|Dramarama|E. Lockhart||||Hot Key Books||YXHL|"5AN|5AQ|YFB"
56753|362|Dramas of a Teenage Heiress|Katy Birchall||||Egmont UK Ltd||YFM|"5AL|YFN|YFQ"
56755|54394|Draußen gibt's ein Schneegestöber|||||dtv Verlagsgesellschaft||YFU|"5AN|5HPD|5HRD"
56763|75448|Dream Maker|Katheryn Maddox Haddad||||Northern Lights Publishing House||YPCA21|"5PGM|YFK"
56771|40983|Dreamer Ballerina|Sarah Rubin||||Chicken House Ltd||YFB|"5AM|YFR"
56782|35785|Drehen und Lernen - Tiere|||||Yo Yo Books||YBCB|"YBG|YBL"
56790|37157|Dreizehn. Das Tagebuch|Carl Wilckens||||Acabus Verlag||FDB|"1A|FJ|FKM|FM"
56791|66535|Dreizehn. Der Gletscher. Band 4|Carl Wilckens||||Acabus Verlag||FMB|"FMB|FMT"
56792|75987|Dreizehn. Die Anstalt. Band 2|Carl Wilckens||||Acabus Verlag||FDK|"5AN|1A|FJ|FKM|FMX"
56807|34963|Drucksachen für Vorschulen (Arbeitsblätter für Spuren und Farben zur Unterstützung der Stiftkontroll|Jessica Windham||||LIGHTNING SOURCE INC||YNTM|"YBG|YPWL"
56810|8578|Dry|Jarrod Shusterman||||Walker Books Ltd.||YFCB|5AQ
56812|32457|Drõmar|Calin Noell||||Epyllion Verlag||YFHR|"FMX|YFH|YFHR"
56815|61405|Dschihad Calling|Christian Linker||||dtv Verlagsgesellschaft||QRAM6|"5AQ|1DFG|1FBS|JPWL|QRAM6|QRP|YF|YN|YXZR|YXZW|3MRB"
56819|17853|Du kannst das Gestern sehen!|Sven Solge||||Books on Demand||FB|
56831|65921|Duden Leseprofi - 2-Minuten-Leserätsel: Mein erster Lesewortschatz. Magisches und Zauberhaftes.|Ulrike Holzwarth-Raether, Ute Müller-Wolfangel||||FISCHER Duden||YPCA21|"5AD|YBL"
56832|11173|Duden Leseprofi - 3-Minuten-Leserätsel für Erstleser: Es weihnachtet sehr|Susanna Moll||||FISCHER Duden||YBLB|"5AG|5HPD|YBLB|YF|YNVP"
56865|19009|Duskwing and the Super Spy|R. P. Moss, Clyde||||Page Publishing Inc||YFJ|
56871|26600|Dust of Eden|Mariko Nagai||||ALBERT WHITMAN & CO||YFN|"1KBB|YFT"
56874|12620|Dusty|Jane B. Mason, Sarah Hines-Stephens||||SCHOLASTIC||YFC|YFP
56890|68802|Dämmerung|Ida Kondering||||Books on Demand||FM|
56894|17341|Día del Trabajo|Meredith Dash||||CAPSTONE CLASSROOM||YNMD|
56915|39707|ELASPHERA|Jannis Raptis||||edition federleicht||FMB|
56924|22662|EPIC - Die Verlorenen|Evelyne Aschwanden||||epubli||FM|
56935|25361|Earl Dumarest - Das Ereignis am Horizont|E. C. Tubb||||Atlantis Verlag Guido Latz||FLS|5JB
56948|21052|Earth's Enemy a Satire on the Present from the Future|Barry C. Kent||||Xlibris||FL|
56960|28556|East|Edith Pattou||||HOUGHTON MIFFLIN||YFJ|"YFH|YFM"
56962|36438|East of West: The Apocalypse Year One|Jonathan Hickman||||Image Comics||XQL|"FL|FM|XA|XQM"
56969|20535|Echoes of the Shadows|A. J. Traxler||||Xlibris||FJ|FL
56970|28299|Echoing Time|Michelle Stojic||||Xlibris||FL|
56989|72931|Edwin and the Climbing Boys|Benita Cullingford||||Austin Macauley||YFT|
56990|6257|Edwurd Fudwupper Fibbed Big: Explained by Fannie Fudwupper|Berkeley Breathed||||LITTLE BROWN & CO||YFQ|YFN
56994|7526|Egels Kunnen Niet Vliegen|Tim Leach||||Lulu.com||YFB|
56996|66323|Egil's Saga: An Icelandic Classic|||||REAL READS||YFA|
57004|14934|Ein Grieche für immer|Tina Folsom||||Duboce Park Press||FMR|
57006|10064|Ein Jahr ohne Juli|Liz Kessler||||FISCHER KJB||YXHB|"5AL|5JA|1DDU|1DDU-GB-E|YFH|YFM"
57008|1023|Ein Königreich aus Feuer und Eis (Die Feenwelt-Reihe 1)|Leni Wambach||||Carlsen Verlag GmbH||YFHR|"5AQ|5AX|5JA|FMM|FMR|FMX|FN|FR|FXB|YFB|YFH|YFJ|YFM"
57009|71018|Ein Königreich für Ihre Gedanken|Björn Bourry||||Books on Demand||FKW|
57011|72524|Ein Mensch unter den Mikroben|Maurice Renard||||Projekt Gutenberg||FKW|
57012|13163|Ein Mr Grey mit Pelz|Nicki P. Cook||||Wölfchen Verlag||FMR|"FMR|FMX|FP"
57014|61339|Ein Pferd namens Milchmann|Hilke Rosenboom||||Carlsen Verlag GmbH||YFP|"5AJ|YFP|YFQ"
57019|23080|Ein Schatz aus Papier und Magie (Das Buch von Kelanna 2)|Traci Chee||||Carlsen Verlag GmbH||YFHR|"5AQ|FM|FMB|YFB|YFC|YFHR|YXE|YXFD|YXG"
57021|45904|Ein Superheld sein: Being a Superhero - German edition|Liz Shmuilov, Kidkiddos Books||||GRAYDON HOUSE BOOKS||YXHB|YFP
57028|37190|Ein großer Schritt|Galax Acheronian||||TWENTYSIX||FL|
57030|65567|Ein orientalisches Winterlicht|Liam Rain||||Books on Demand||FMR|
57036|28228|Eine Vampirdame im Sprechzimmer|Sabrina Georgia||||DerFuchs-Verlag||FM|"FN|FP|FR"
57046|43689|Eins, zwei, drei, vier... neun Paar Schuhe?|Arnica Esterl, Richard Rosenstein, Victor Ambrus||||Freies Geistesleben GmbH||QRYC5|"5AC|5AD|CFDC|CFDM|YBCS|YBL|YF"
57053|60226|Eintragalbum - Meine Firmung|||||Coppenrath F||YNRM|"5AP|5HKM|5HKQ|5PGM|YBL|YNRM|YZG|YZS"
57062|36212|Eiserne Flammen|Anni Dürr, Julian Härtl, David Lukaßen||||Ulisses Spiel & Medien||WDHW|"FM|WDHW"
57063|32114|Eisflammen|Laura Piontek||||Nova MD||FM|FDK
57073|17281|El Aullido del Lobo|Sylvia M. Medina||||GREEN KIDS CLUB INC||YFP|
57088|60155|El Dodo: Pequeño Y Valiente (Dodo: Little But Fierce)|Joan Emerson||||SCHOLASTIC||YFP|
57094|18451|El Gallo Sale A Ver el Mundo = Rooster's Off to See the World|Eric Carle||||LITTLE SIMON||YBLC|"YFA|YFP"
57140|6400|Elea - Die Träne des Drachen (Band 1)|Christina Matesic||||Books on Demand||FM|
57160|13788|Elesztrah. Band 01|Fanny Bechert||||Sternensand Verlag||FMB|FN
57161|21387|Elesztrah. Band 02|Fanny Bechert||||Sternensand Verlag||FMB|"FL|FMR|FN"
57162|5471|Elesztrah. Band 03|Fanny Bechert||||Sternensand Verlag||FMB|"FL|FMR|FN"
57171|18925|Elfenkuss|Aprilynne Pike||||cbj||YFHR|"5AN|YFM"
57173|62494|Elfenseele 02. Zwischen den Nebeln|Michelle Harrison||||Loewe Verlag GmbH||YFHR|"5AN|YFB|YFM"
57174|19405|Elfenspiel (Enchanted 1)|Jess A. Loup||||Carlsen Verlag GmbH||FM|"5AX|5JA|FMB|FMM|FMR|FMX|FN|FR|FRD|FXB|YFH|YFHR"
57190|9656|Ellie's Magical Bakery: A Royal Tea for Royalty|Ellie Simmonds||||Penguin Random House Children's UK||YFC|"5AH|YFH"
57204|63399|Elya 2: Das Bündnis der Welten|Dana Müller-Braun||||Carlsen Verlag GmbH||YFHR|"5AQ|5AX|5JA|FMM|FMR|FMX|FN|FRD|FXB|YFB|YFM"
57215|12484|Emerald.|B. Godfrey||||Xlibris||FMW|
57222|65749|Emily Windsnap and the Land of the Midnight Sun|Liz Kessler||||Hachette Children's Group||YFC|YFH
