titleQueried|titleFound|author|language|description|isbn
Das Spiel der GÃ¶tter 19|Das Spiel der Götter (1)|Steven Erikson|de|Das malazanische Imperium ist ein Moloch, der sich mit Hilfe seiner Magier und Soldaten unerbittlich ausbreitet. Jetzt soll die letzte freie Stadt fallen. Doch eine ominöse Macht verweigert den Truppen der Kaiserin den letzten Sieg: Über Darujhistan schwebt aus heiterem Himmel eine riesige Festung und versetzt alle Welt in helle Aufregung ...|9783641089771
Das Spiel der GÃ¶tter 19|Das Spiel der Götter (10)|Steven Erikson|de|Das furiose Fantasy-Epos einer dunklen Anderswelt! Der Aufstand im Reich der Sieben Städte ist vorüber, Sha’ik ist tot. Aber die Rebellion ist nicht gänzlich besiegt, noch immer schwelt die Glut des Widerstands. Sha’iks Feldherr und rechte Hand, der Wüstenkrieger Leoman, hat sich nach Y’Ghatan zurückgezogen, in eine Stadt, deren Namen für die malazanischen Soldaten einen unheilvollen Klang besitzt. Denn vor den Mauern dieser Stadt wurde Dassem Ultor, das egendäre Erste Schwert des Imperiums, getötet. Doch die neue Mandata Tavore hat keine andere Wahl: Sie muss Y’Ghatan erobern, wenn sie die Feuer der Rebellion endgültig austreten will ... Ein Meisterwerk von unübertroffener mythologischer Tiefe!|9783641089825
Das Spiel der GÃ¶tter 19|Das Spiel der Götter 15|Steven Erikson|de|Krieg, Intrigen und unkontrollierte schwarze Magie Ein Feind von unvorstellbarer Macht nähert sich Schwarz-Korall. Und doch verlässt Anomander Rake, der Sohn der Dunkelheit, seine Heimat und sein Volk. Dabei wäre nur er in der Lage, den Gegner zu bezwingen. Aber Anomander Rake weiß genau, dass die eigentliche Entscheidung in Darujhistan fallen wird. Darum ist sein Platz dort. Er betritt die Stadt des blauen Feuers in dem Wissen, dass es ein uraltes Unrecht wiedergutzumachen gilt – und dass der Tod eines Gottes unmittelbar bevorsteht!|9783641096519
Das Spiel der GÃ¶tter 17|Das Spiel der Götter 17|Steven Erikson|de|Der uralte Gott Draconus, die geflügelte Dunkelheit, ist seinem Gefängnis entronnen und beginnt sofort, den ewigen Kampf um Macht und Schicksal wieder aufzunehmen. Doch viel hat sich verändert, und nicht einmal Draconus kann sich den Intrigen des verkrüppelten Gottes entziehen. Wird die geflügelte Dunkelheit für oder gegen die Sterblichen in den Krieg ziehen? Oder wird sie sich endgültig aus dem Spiel der Götter zurückziehen?|9783641202736
Das Spiel der GÃ¶tter 17|Das Spiel der Götter (5)|Steven Erikson|de|Der fünfte Roman aus dem furiosen High-Fantasy-Epos voller Kampf, Magie und Heldentum. Ungewöhnlich vielschichtige Saga, die den Autor in die erste Garde der internationalen Fantasy-Autoren aufrücken ließ! Begeistert aufgenommen: Die erste Folge des Zyklus wurde für den World Fantasy Award nominiert, die zweite von den Lesern zum besten Roman des Jahres gewählt. Für die Fans von George R. R. Martin, Terry Goodkind und Tad Williams. Während Hohefaust Dujek Einarm und seine instabile Allianz sich den Horden des Pannionischen Sehers entgegenwerfen, entsteht eine neue Bedrohung: Die untoten T'lan Imass erheben sich, und düstere Gerüchte über den verkrüppelten Gott beunruhigen die Menschen ...|9783641089863
Das Spiel der GÃ¶tter 17|Das Spiel der Götter (13)|Steven Erikson|de|Das furiose Fantasy-Epos von einer dunklen Anderswelt! Während Rhulad Sengar, der unsterbliche Herrscher über die Tiste Edur und das ehemalige Königreich Lether, ganz in seinem Wahn aufgeht, sich mit immer neuen Meisterkämpfern zu messen, sammeln sich rings um sein Reich gewaltige Mächte weltlicher und magischer Natur. Da bricht der Sturm des Verderbens los und droht nicht nur Lether, sondern einen ganzen Kontinent in den Untergang zu reißen ... Ein Meisterwerk von unübertroffener mythologischer Tiefe!|9783641089801
Das Spiel der GÃ¶tter 17|Das Spiel der Götter (3)|Steven Erikson|de|Das Jahr des Wirbelwinds, des lange prophezeiten großen Aufruhrs, ist angebrochen und erschüttert das Reich der Sieben Städte in seinen Grundfesten. Die Seherin Sha ́ik sammelt ihre Armee um sich, das ganze Land rebelliert gegen das Joch der malazanischen Eroberer, und inmitten dieses chaotischen Hexenkessels versucht der unerfahrene Kommandant Coltaine mit seinen Leuten verzweifelt, eine vieltausendköpfige Flüchtlingstruppe in Sicherheit zu bringen. Doch während die erschöpften malazanischen Soldaten um das Leben ihrer Schützlinge kämpfen, erfüllt sich in der heiligen Wüste Raraku das Schicksal der jungen Felisin - und das jenes uralten Wanderers, der ein schreckliches Geheimnis hütet, dessen Enthüllung katastrophale Folgen haben könnte.|9783641089856
Das Spiel der GÃ¶tter 17|Das Spiel der Götter (7)|Steven Erikson|de|In der Wüste Raraku steht die entscheidende Schlacht zwischen den Truppen der Mandata und denen der Rebellenarmee bevor – und damit der finale Kampf zwischen den sich hassenden Schwestern Tavore und Felisin ...|9783641089887
Das Spiel der GÃ¶tter 17|Das Spiel der Götter 15|Steven Erikson|de|Krieg, Intrigen und unkontrollierte schwarze Magie Ein Feind von unvorstellbarer Macht nähert sich Schwarz-Korall. Und doch verlässt Anomander Rake, der Sohn der Dunkelheit, seine Heimat und sein Volk. Dabei wäre nur er in der Lage, den Gegner zu bezwingen. Aber Anomander Rake weiß genau, dass die eigentliche Entscheidung in Darujhistan fallen wird. Darum ist sein Platz dort. Er betritt die Stadt des blauen Feuers in dem Wissen, dass es ein uraltes Unrecht wiedergutzumachen gilt – und dass der Tod eines Gottes unmittelbar bevorsteht!|9783641096519
Das Spiel der GÃ¶tter 17|Das Spiel der Götter (1)|Steven Erikson|de|Das malazanische Imperium ist ein Moloch, der sich mit Hilfe seiner Magier und Soldaten unerbittlich ausbreitet. Jetzt soll die letzte freie Stadt fallen. Doch eine ominöse Macht verweigert den Truppen der Kaiserin den letzten Sieg: Über Darujhistan schwebt aus heiterem Himmel eine riesige Festung und versetzt alle Welt in helle Aufregung ...|9783641089771
Die Hexenholzkrone 1|Die Hexenholzkrone 1|Tad Williams|de|Der Auftakt von Tad Williams' neuem Epos aus Osten Ard Osten Ard ist in Aufruhr. Seit 30 Jahre regieren König Simon und Königin Miriamel mit Weisheit und Güte über ihr Land. Doch die dunklen Mächte sammeln sich um die Nornenkönigin und wollen sich Osten Ard untertan machen. Vor allem Prinz Morgan ist in Gefahr, denn die Feinde wollen seine Thronbesteigung verhindern und selbst die Macht erlangen. Da ruft König Simon seine alten Freunde zu Hilfe, und Binabiq, Aditu, Jiriki und Jeremias treten gemeinsam mit ihm gegen die Nornen und andere Widersacher an. Wird es einen gerechten Kampf geben? Können die Freunde Osten Ard verteidigen? Und wird Prinz Morgan unversehrt aus der Schlacht zurückkehren?|9783608108781
Die Hexenholzkrone 1|Die Hexenholzkrone 1-2|Tad Williams|de|Osten Ard ist in Aufruhr. Seit 30 Jahre regieren König Simon und Königin Miriamel mit Weisheit und Güte über ihr Land. Doch die dunklen Mächte sammeln sich um die Nornenkönigin und wollen sich Osten Ard untertan machen. In dieser Hobbit Presse Gold Edition befinden sich beide Teile „Der letzte König von Osten Ard 1“ von Tad Williams. Über 1300 Seiten entführen den Leser in die Welt von Osten Ard. Die Limited Edition ist nur für begrenzte Zeit lieferbar. Osten Ard ist in Aufruhr. Seit 30 Jahre regieren König Simon und Königin Miriamel mit Weisheit und Güte über ihr Land. Doch die dunklen Mächte sammeln sich um die Nornenkönigin und wollen sich Osten Ard untertan machen. In dieser Hobbit Presse Gold Edition befinden sich beide Teile „Der letzte König von Osten Ard 1“ von Tad Williams. Über 1300 Seiten entführen den Leser in die Welt von Osten Ard. Die Limited Edition ist nur für begrenzte Zeit lieferbar. Der Norden erhebt sich, und es heißt die alte Kriegsgöttin Morriga habe sich geregt. König Simon und Königin Miriamele müssen ihren einzigen Thronerben, Prinz Morgan, auf eine Mission zu dem uralten Volk der Sithi schicken. Lässt sich der Frieden noch retten? »Dieses Werk hat mich inspiriert ›Game of Thrones‹ zu schreiben.« George R. R. Martin über »Das Geheimnis der Großen Schwerter« Die Nornenkönigin streckt ihre Hand nach der sagenumwobenen Hexenholzkrone aus und der Schatten eines aufziehenden Krieges legt sich über Osten Ard. Da wird eine Gesandte der Sithi, die mit einer Nachricht für König Simon und Königin Miriamele unterwegs war, schwer verwundet im Wald nahe dem Palast gefunden. Und ein Attentat auf einen alten Gefährten innerhalb der Palastmauern sorgt für noch größere Unruhe. Der Angreifer erwähnt immer wieder die Morriga, eine uralte Kriegsgöttin. Dieses E-Book enthält: -Der letzte König von Osten Ard 1|9783608116496
Die Hexenholzkrone 1|Die Hexenholzkrone 2|Tad Williams|de|- Die Fortsetzung des Weltbestsellers »Das Geheimnis der großen Schwerter« Der Norden erhebt sich, und es heißt die alte Kriegsgöttin Morriga habe sich geregt. König Simon und Königin Miriamele müssen ihren einzigen Thronerben, Prinz Morgan, auf eine Mission zu dem uralten Volk der Sithi schicken. Lässt sich der Frieden noch retten? »Dieses Werk hat mich inspiriert ›Game of Thrones‹ zu schreiben.« George R. R. Martin über »Das Geheimnis der Großen Schwerter« Die Nornenkönigin streckt ihre Hand nach der sagenumwobenen Hexenholzkrone aus und der Schatten eines aufziehenden Krieges legt sich über Osten Ard. Da wird eine Gesandte der Sithi, die mit einer Nachricht für König Simon und Königin Miriamele unterwegs war, schwer verwundet im Wald nahe dem Palast gefunden. Und ein Attentat auf einen alten Gefährten innerhalb der Palastmauern sorgt für noch größere Unruhe. Der Angreifer erwähnt immer wieder die Morriga, eine uralte Kriegsgöttin. Um mehr über die Bedrohung durch die Nornen herauszufinden, schickt das Thronpaar schweren Herzens Prinz Morgan zu dem Volk der Sithi. Wird er wohlbehalten zurückkehren von seiner Mission? Ist ein Krieg gegen die Nornen noch abzuwenden? Und was hat es mit den Gerüchten um das Erwachen der Morriga auf sich? Und nicht zuletzt ist da noch das Versprechen, das Simon und Miriamele ihrem alten Freund Herzog Isgrimnur auf dem Sterbebett gegeben haben ...|9783608100853
An Absolutely Remarkable Thing|An Absolutely Remarkable Thing|Hank Green|en|THE INSTANT #1 NEW YORK TIMES BESTSELLER “Sparkling with mystery, humor and the uncanny, this is a fun read. But beneath its effervescent tone, more complex themes are at play.” —San Francisco Chronicle In his wildly entertaining debut novel, Hank Green—cocreator of Crash Course, Vlogbrothers, and SciShow—spins a sweeping, cinematic tale about a young woman who becomes an overnight celebrity before realizing she's part of something bigger, and stranger, than anyone could have possibly imagined. The Carls just appeared. Roaming through New York City at three a.m., twenty-three-year-old April May stumbles across a giant sculpture. Delighted by its appearance and craftsmanship—like a ten-foot-tall Transformer wearing a suit of samurai armor—April and her best friend, Andy, make a video with it, which Andy uploads to YouTube. The next day, April wakes up to a viral video and a new life. News quickly spreads that there are Carls in dozens of cities around the world—from Beijing to Buenos Aires—and April, as their first documentarian, finds herself at the center of an intense international media spotlight. Seizing the opportunity to make her mark on the world, April now has to deal with the consequences her new particular brand of fame has on her relationships, her safety, and her own identity. And all eyes are on April to figure out not just what the Carls are, but what they want from us. Compulsively entertaining and powerfully relevant, An Absolutely Remarkable Thing grapples with big themes, including how the social internet is changing fame, rhetoric, and radicalization; how our culture deals with fear and uncertainty; and how vilification and adoration spring for the same dehumanization that follows a life in the public eye. The beginning of an exciting fiction career, An Absolutely Remarkable Thing is a bold and insightful novel of now.|9781524743451
Der letzte Wunsch|Der letzte Wunsch|Andrzej Sapkowski|de||9783423262644
Der letzte Wunsch|Der letzte Wunsch|Carlotta Bergström|de|... Ich war aus meinem nachtlichen Schlaf erwacht und genoss die himmlische Ruhe. Die Sonnenstrahlen warmten mein Gesicht und gaben mir das Gefuhl von Geborgenheit. Ich wunschte, ich konnte diesen Moment festhalten. Das Telefon klingelte und nach dem Anruf war nichts mehr wie vorher. Mein Leben stand auf dem Kopf und stellte mich vor die schwierigsten Prufungen, die ich je zu bewaltigen hatte. Es kamen viele Situationen, in denen ich mich fragte, was denn wohl noch alles passieren wurde. Mit der Zeit konnte ich auch etwas Gutes in den Ereignissen sehen, denn es machte mich innerlich stark und mit jeder Aufgabe, die ich erfolgreich meisterte, kam mein positives Lebensgefuhl zuruck. Was ich damit ausdrucken mochte: Glaubt an euch und eure Starke, erfreut euch an den kleinen Freuden des Lebens und spurt die bedingungslose Liebe euer Familie.|9783839198056
Mein Freund Salim|Mein Freund Salim|Uticha Marmon|de||9783734840104
A Long Way Down|A Long Way Down|Nick Hornby|de|Komisch, rasant, mit schwarzem Humor – der neue Nick HornbyVier Menschen auf dem Dach eines Londoner Hochhauses, die sich an Silvester das Leben nehmen wollen, schließen einen Pakt: neuer gemeinsamer Selbstmord-Termin ist der Valentinstag. Es bleiben sechs Wochen, die gemeinsam überlebt werden müssen... Silvester, auf dem Dach eines Hochhauses: Pech, dass gleich vier Menschen auf die Idee gekommen sind, sich dort das Leben zu nehmen. Da man sich schlecht umbringen kann, wenn einem andere dabei zusehen, steigt die seltsame Gruppe erst mal vom Dach, um das Problem der jüngsten Kandidatin, die nicht weiß, warum ihr Freund sie verlassen hat, zu lösen. Nach und nach erzählen sie sich ihre Geschichten.Da ist die altjüngferliche Maureen, deren Sohn Matty schwerstbehindert ist und die diese Belastung allein tragen muss, da ist Martin, der berühmte Talkmaster, den nach einem Gefängnisaufenthalt niemand mehr auf dem Bildschirm sehen will, Jess, die aufmüpfige Tochter eines Politikers, ist so direkt, dass sie alle vor den Kopf stößt, und JJ, der von seinem besten Freund, dem Sänger seiner Band, im Stich gelassen wurde. Die vier verabreden, mit dem finalen Sprung bis zum Valentinstag zu warten – und so findet eine Gruppe von Menschen zueinander, die unterschiedlicher nicht sein könnten und die einander doch auf wundersame Weise zu helfen wissen. Hornby at his best – in diesem urkomischen, rasanten und mit schwarzem Humor gespickten Roman beweist Hornby wieder einmal seine ganze Meisterschaft. Leser, freut Euch!|9783462306507
A Long Way Down|Long Way Down|Ewan McGregor, Charley Boorman|de|Ewan McGregor und sein Kumpel Charley Boorman wollen es noch einmal wissen: Nach ihrem abenteuerlichen Trip rund um die Welt geht es dieses Mal vom nördlichsten Punkt Großbritanniens, dem kleinen Nest John O'Groats in den schottischen Highlands, südwärts bis nach Kapstadt in Südafrika. Das ganz große Abenteuer beginnt, als die beiden die gepflegten Teerstraßen Europas hinter sich lassen. In Afrika erwarten sie – neben der überwältigenden Gastfreundschaft der Einheimischen – Sandstürme (Libyen), üble Offroadpisten (Kenia), Schlammschlachten (Äthiopien) und ein rasender Elefant, der McGregor nach dem Leben trachtet (Botswana). Ein weiteres Roadmovie voller Risiken, Überraschungen und unvergesslicher Begegnungen.|9783492956932
A Long Way Down|Long Way Down|Jason Reynolds|en|SHORTLISTED for the CILIP Carnegie Medal, WINNER of the UKLA 'A masterpiece from beginning to end.' Angie Thomas, author of The Hate U Give AND THEN THERE WERE SHOTS Everybody ran, ducked, hid, tucked themselves tight. Pressed our lips to the pavement and prayed the boom, followed by the buzz of a bullet, didn't meet us. After Will's brother is shot in a gang crime, he knows the next steps. Don't cry. Don't snitch. Get revenge. So he gets in the lift with Shawn's gun, determined to follow The Rules. Only when the lift door opens, Buck walks in, Will's friend who died years ago. And Dani, who was shot years before that. As more people from his past arrive, Will has to ask himself if he really knows what he's doing. This haunting, lyrical, powerful verse novel will blow you away. 'A heartrending and convincing blank verse narrative.' Sunday Times, BOOKS OF THE YEAR 'Astonishing.' Kirkus Reviews 'A tour de force.' Publishers Weekly 'Will attract teenagers who don't consider themselves 'readers'.' The Inis Reading Guide|9780571335138
A Long Way Down|A Long Way Down|Randall Silvis|en|Just when you think you've reached the bottom... Ryan DeMarco would rather not go home. Not now, maybe not ever. But when his estranged wife attempts suicide, he has no choice but to return to western Pennsylvania, and all the memories that wait for him there. Unfortunately, it's not only ghosts from the past waiting to greet DeMarco upon his return. An old high school classmate has risen through the ranks to become a county sheriff, and he is desperate for help investigating a series of murders that might tie into a cold case from his and DeMarco's school days. DeMarco and his new love, Jayme, agree to join the team working on the case. But it's not easy for DeMarco to be walking the streets of his troubled past, and the deeper he and Jayme dig into the disturbing murders the less likely it is that either one of them will escape the devastation. Ryan DeMarco Mystery Series: Two Days Gone (Book 1) Walking the Bones (Book 2) A Long Way Down (Book 3)|9781492665601
A Long Way Down|Long Way Down|Charley Boorman, Ewan McGregor|en|After their fantastic trip round the world in 2004, fellow actors and bike fanatics Ewan McGregor and Charley Boorman couldn't shake the travel bug. And after an inspirational UNICEF visit to Africa, they knew they had to go back and experience this extraordinary continent in more depth. And so they set off on their 15,000-mile journey with two new BMWs loaded up for the trip. Joining up with producer/directors Russ Malkin and David Alexanian and the Long Way Round team, their route took them from John O'Groats at the northernmost tip of Scotland to Cape Agulhas on the southernmost tip of South Africa. Riding through spectacular scenery, often in extreme temperatures, Ewan and Charley faced their hardest challenges yet. With their trademark humour and honesty they tell their story - the drama, the dangers and the sheer exhilaration of riding together again, through a continent filled with magic and wonder.|9781405529082
League of Legends. Die Reiche von Runeterra|League of Legends. Die Reiche von Runeterra||de|"""Die Reiche von Runeterra"" ist das erste offizielle Begleitbuch zu einem der weltweit erfolgreichsten Online-Spiele: ""League of Legends"". Illustriert mit wunderschönen Karten und Charakterporträts, enthält das Buch Beschreibungen der Landschaften, der Geschichte und der Helden der Spielwelt Runeterra. ""Die Reiche von Runeterra"" ist aufgebaut wie das Notizbuch eines Forschers, der die besondere Kultur, die jede der dreizehn Fraktionen Runeterras auszeichnet, in einem Kapiteln untersucht. Das Buch ist durchgehend farbig bebildert und beschreibt die Politik, die wichtigsten Persönlichkeiten, die Architektur und die Flora und Fauna der jeweiligen Region. Jedes Kapitel enthält eine brandneue Kurzgeschichte, die einen Einblick in das Leben und die Geschichte jeder Fraktion der Welt bietet. Spieler können hier tief in das League-of-Legends-Universum eintauchen; und für eingefleischte Fans sind die Karten und Notizen überdies Hinweise darauf, was die Welt Runeterra in Zukunft noch zu bieten hat. Das Online-Strategiespiel: League of Legends (kurz: LoL) ist ein von Riot Games entwickeltes Computerspiel. Mit rund vier Millionen monatlichen Spielern ist LoL eines der größten und bekanntesten Online-Spiele in Deutschland. Im klassischen Spiel-Modus kämpfen zwei Teams mit jeweils 5 Spielern gegeneinander. Die Spieler schlüpfen dabei in die Rollen von Champions der Spielwelt Runeterra. Das vorliegende Buch beschreibt die Länder sowie die Geschichte Runeterras und ihrer Champions. Die League-of-Legends-Weltmeisterschaft: Seit 2011 richtet Riot Games eine LoL-Weltmeisterschaft aus, 2019 fand diese in Berlin statt. Ab Januar 2020 findet in Berlin die League of Legends European Championship (LEC) statt. Im Bereich Esports ist LoL führend: Das Halbfinalspiel der Weltmeisterschaft 2019 war nach den Esports Charts das bislang meistgesehene Esports-Spiel überhaupt. Insgesamt verfolgen bis zu 40 Millionen Zuschauer weltweit die Turniere."|9783426460368
Mein Immer-wieder-Stickerbuch: Ostern|Mein Immer-wieder-Stickerbuch: Ostern|Felicity Brooks|en||9781789414196
Escape-Stickerbuch - Juwelenraub|Escape-Stickerbuch Juwelenraub|Philip Kiefer|en||9783845842288
Mein Glitzer-Sticker-Schloss: Meerjungfrauen|Mein Glitzer-Sticker-Schloss: Meerjungfrauen|Laura Leintz|de|Einfach magisch! Über 150 funkelnde Glitzer-Sticker – wiederablösbar für extra viel Sticker-Spaß! Mit großen Panorama-Seiten, liebevoll illustriert von Meike Teichmann! Für Feen-Fans ab 5 Jahren: zum Träumen, Malen und Gestalten. Tolles Extra: mit Ausmalseiten!|9783551187963
Rune|Runes|Sirona Knight|en|Tap into the age-old, secret power of runes to create a better and more enriching life. Generally associated with the ancient Northern Europeans, runes are magical symbols that convey the story of creation, life, destruction, and rebirth, and how these forces constantly affect our many levels of being. Runes connect with your body, mind, and spirit, as well as the environment, and are ideal for use in psychological integration, spiritual growth, healing, and magic. Learn the history of runes and the meanings and associations of each symbol. Then discover a wide variety of ways runes can help you find answers to personal questions, increase self-awareness, relieve stress, gain a sense of personal empowerment, and clear out blockages in your life. As you work with these mystical tools you’ll find within them the power to transform yourself.|9781402760068
Rune|Runes|Michael P. Barnes|en|Offers a full introduction to and survey of runes and runology: their history, how they were used, and their interpretation.|9781843837787
Mein erstes Bastelbuch|Mein erstes Bastelbuch||de||
Mein erstes Bastelbuch|Mein erstes Bastelbuch|Kath Smith|de||9781407519418
Tortues Ã  l'infini|Tortues à l'infini|John Green|fr|Un roman construit comme un thriller, bouleversant, éblouissant de lucidité, de tendresse et d'humour rédempteur.|9782075119863
The Cruel Prince|The Cruel Prince|Holly Black|en|By #1 New York Times bestselling author Holly Black, the first book in a stunning new series about a mortal girl who finds herself caught in a web of royal faerie intrigue. Of course I want to be like them. They're beautiful as blades forged in some divine fire. They will live forever. And Cardan is even more beautiful than the rest. I hate him more than all the others. I hate him so much that sometimes when I look at him, I can hardly breathe. Jude was seven years old when her parents were murdered and she and her two sisters were stolen away to live in the treacherous High Court of Faerie. Ten years later, Jude wants nothing more than to belong there, despite her mortality. But many of the fey despise humans. Especially Prince Cardan, the youngest and wickedest son of the High King. To win a place at the Court, she must defy him--and face the consequences. In doing so, she becomes embroiled in palace intrigues and deceptions, discovering her own capacity for bloodshed. But as civil war threatens to drown the Courts of Faerie in violence, Jude will need to risk her life in a dangerous alliance to save her sisters, and Faerie itself.|9780316310284
Advanced Potion Making|Advanced Potion Making|Noel Green|en|Enter a world of magic full of witches and wizards with this wonderfully written, fully complete work of fantasy. This potion book is completed with over 24 potions, complete with instructions, ingredients and spells. This isn't just another blank book to sit on your shelf but something you and your friends will want to read and study for years to come. Note: this is NOT a real potion book but is made for the fan of all things magical. At least we don't think any of the potions are real... but haven't tried them with actual unicorn horns or goblin blood so we might be wrong. For more information on this book check out my website here: http: //www.noelgreen.com/advanced-potion-making-replica#buypotionbook|9781312947924
Advanced Potion Making|Advanced Potion Making|DPM|en|In the movies, this book contains advanced recipes and various other topics related to potion-making. This textbook has been used for decades in the education of young witches and wizards. ★★★ Overflow your imagination creating your own book !!! ★★★ Replica of the front / back cover book Use it as a JOURNAL / NOTEBOOK / DIARY / or whatever ;) PERFECT Christmas / birthday / Halloween / school / GIFT !!! Any fan of the book / movies will love this book. Guaranteed! 120 empty old-fashioned pages effect (not more boring lined pages) Cream paper (for a cool VINTAGE look) Huge size: 6 x 9 Inches !!! Mate cover finish|9798716106604
The Walled City|Walled City|Ryan Graudin|de|JIN schlägt sich als Junge verkleidet durch die ummauerte Stadt Hak Nam. Sie muss ihre Schwester Mei Yee finden, die von der Bruderschaft des Roten Drachen gefangen gehalten wird. MEI YEE befindet sich in der Hand des schrecklichen Longwai, des Anführers der Bruderschaft. Eines Tages steht der fremde Junge Dai vor ihrem Fenster und verspricht ihr, sie zu befreien. DAI stammt aus reichen Verhältnissen, muss Longwai jedoch innerhalb von 18 Tagen das Handwerk legen, wenn er selbst dem Gefängnis entkommen will. Dafür braucht er Mei Yee. Und Jin. Gemeinsam stellen sich die drei Jugendlichen der schier übermächtigen Bruderschaft des Roten Drachen. Doch die Zeit läuft ...|9783644534612
The Walled City|The Walled City|Esther David|en|This novel traces the rigid circumscribed lives of three generations of women in an extended Jewish family in the walled Indian city of Ahmedabad.|9780815607502
The Walled City|In the Walled City|Stewart O'Nan|en|An award-winning collection of short fiction from one of “the strongest American writers of his generation” (The Washington Post Book World). Proclaimed “a master” by the New York Times and selected as one of Granta’s Best Young American Novelists, Stewart O’Nan started his literary career with this outstanding collection of short stories. Selected as the winner of the Drue Heinz Prize for Literature, this volume features twelve journeys into the lives and souls of a broad range of characters—including a ruined farmer, a black day laborer, an old Chinese grocer, and a young policeman who has become separated from his family and is descending into madness. Intimate and generous, these stories illuminate the connections that bind us and the obligations and sorrows of love. From The Speed Queen to Names of the Dead to West of Sunset, O’Nan has dazzled readers again and again. Fans new and old will enjoy In the Walled City. “These are stories of a high order, sophisticated, humane, persistent; once read, they don’t go away.” —Tobias Wolff|9780802196699
The Walled City|The Walled City|Ryan Graudin|en|DIVERGENT meets MEMOIRS OF A GEISHA in this dark YA thriller set within the walls of a lawless slum city, where Jin Ling searches for her lost sister and Dai struggles to complete an impossible mission. There are three rules of survival in the Walled City: Run fast. Trust no one. Always carry your knife. Right now, my life depends completely on the first. Run, run, run. Dai traffics drugs for the most ruthless man in the Walled City. To find freedom, he needs help from someone who can be invisible... Jin Ling hides under the radar, evading the street gangs as she searches for her lost sister. Mei Yee survives trapped in a brothel, dreaming of escape while watching the girls who try fail and die. Damaged and betrayed, can these three find the faith to join forces and escape the stifling city walls? With a fantasy setting inspired by Kowloon Walled City, Hong Kong, Ryan's novel has a rich authenticity and an intense atmosphere, and its pace will enthral the reader from the very first page.|9781780622019
Du hast aber Mut!|Du hast aber Mut!|Brigitte Blobel|de|Heimlich beobachtet Niko (9), wie Jule aus der Parallelklasse von 3 älteren Schülern misshandelt wird. Aus Angst schweigt er, auch als er selbst bedroht wird. Doch dann wird Jule noch brutaler zusammengeschlagen.|9783401019963
Wunder Sieh mich nicht an|Wunder Sieh mich nicht an|Raquel J. Palacio|de|Wonder is the funny, sweet and incredibly moving story of Auggie Pullman. Auggie wants to be an ordinary ten-year-old, but he is far from ordinary. Born with a terrible facial deformity, this shy, bright ten-year-old has been home-schooled by his parents for his whole life, in an attempt to protect him from the stares and cruelty of the outside world. Now, for the first time, Auggie is being sent to a real school - and he's dreading it. Auggie sees himself as just an ordinary kid and all he wants is to be accepted. But can he convince his new classmates that he's just like them, underneath it all?|9783423625890
Lovely Curse, Band 1: Erbin der Finsternis|Lovely Curse, Band 1: Erbin der Finsternis|Kira Licht|de|Es ist dein Erbe, der Welt das Ende zu bringen. Es ist dein Schicksal, genau dies zu verhindern. Arias Welt bricht zusammen, als ihre Eltern bei einem Autounfall ums Leben kommen und sie zu ihrer Tante in die texanische Provinz ziehen muss. Die neuen Mitschüler an der Highschool lassen die rebellische Aria auflaufen. Doch der charmante Simon scheint ein Auge auf sie geworfen zu haben und der tägliche Schlagabtausch mit Bad Boy Dean wird zur willkommenen Abwechslung - bis Aria eines Morgens mit weißblonden Haaren aufwacht. Und sie ist nicht die einzige, die sich über Nacht verändert. Denn eine uralte Prophezeiung entfaltet ihre Wirkung: Das Ende der Welt naht und Aria ist die erste von vier Todesboten. Band 1 des betörend-gefährlichen Romantasy-Zweiteilers von Kira Licht|9783473479818
City of Elements 1|City of Elements 1|Nena Tramountani|de|"""Wer bist du?"", fiel ich ihm wütend ins Wort. Er zuckte die Schultern. ""Deine beste Chance, diese Nacht zu überleben."" Tessarect. Eine Stadt, streng aufgeteilt nach den vier Elementen – und denjenigen, die sie beherrschen. Hierher wird Kia entführt. Sie erfährt, dass ihr Leben in Gefahr ist, weil sie das Kind zweier unterschiedlicher Elemententräger ist. Und damit einzigartig. Ausgerechnet Kias Entführer Will ist ihr Inventi, geboren, um sie zu schützen, komme was wolle. Leider ist er nicht nur unausstehlich, sondern auch ziemlich gut in seinem Job: Er lässt Kia nicht aus den Augen. Irgendwie muss sie ihm entkommen, um herauszufinden, wem sie in diesem undurchschaubaren Geflecht aus Allianzen und Geheimnissen trauen kann – und um das außergewöhnliche Talent zu wecken, das angeblich in ihr schlummert. Band 1: mitreißend, temporeich, prickelnd. Romantasy at its best! ""City of Elements hat mich mitgerissen! Ich klebte an den Seiten, konnte nicht aufhören zu lesen und fiebere Teil 2 entgegen. Spannend, romantisch, geheimnisvoll – ich will mehr!"" Ava Reed"|9783864180996
