,itemID,meta,keyword,image,combined
185,20083,"['39296', '52786', '10456', '18928', '41369']",[''],"['4101', '27239', '70894', '45164', '61280']","['39296', '52786', '10456', '18928', '41369']"
186,31728,"['9009', '78766', '53828', '27692', '17113']",[''],"['18991', '29012', '24447', '35755', '69035']","['9009', '78766', '53828', '27692', '17113']"
187,52192,"['6177', '62781', '11193', '16996', '52979']","['55259', '28071', '36525', '15124', '50767']","['70146', '44816', '29161', '29012', '30319']","['6177', '62781', '11193', '16996', '52979']"
188,62732,"['65221', '59106', '73227', '66201', '18641']",[''],[''],"['65221', '59106', '73227', '66201', '18641']"
189,30746,"['54492', '34655', '28851', '36087', '66067']",[''],[''],"['54492', '34655', '28851', '36087', '66067']"
190,22622,"['177', '31953', '3155', '33318', '57889']",[''],[''],"['177', '31953', '3155', '33318', '57889']"
191,54612,[''],[''],[''],['']
192,59032,"['8615', '54414', '42141', '5961', '64725']",[''],[''],"['8615', '54414', '42141', '5961', '64725']"
193,26385,"['67189', '67725', '54745', '38218', '10211']","['75311', '50333', '12661', '3745|68142', '33231']","['62539', '60699', '47980', '34574', '63851']","['67189', '67725', '54745', '38218', '10211']"
194,65461,"['5857|74747', '28726|1232', '3239', '42412', '71440']",[''],[''],"['5857|74747', '28726|1232', '3239', '42412', '71440']"
195,54835,"['5368', '35031', '57254', '44244', '76283']",[''],[''],"['5368', '35031', '57254', '44244', '76283']"
196,54737,"['31260', '45467', '2653', '75990', '56766']",[''],"['14400', '61606', '53055', '52014', '44505']","['31260', '45467', '2653', '75990', '56766']"
197,76905,"['52269', '24588', '31395', '38391', '24337']",[''],[''],"['52269', '24588', '31395', '38391', '24337']"
198,45093,"['66487', '70116', '32545', '32366', '51220']",[''],[''],"['66487', '70116', '32545', '32366', '51220']"
199,31273,"['3155', '57889', '33318', '31953', '61554']",[''],"['21588|54806|4866|54666|53926', '6508', '60941|27941', '28778', '68823']","['3155', '57889', '33318', '31953', '61554']"
200,851,"['72857', '63068', '39338', '71544', '74064']","['11286', '72857', '74064', '63068', '39750']","['20344', '2688', '66410', '55278', '17872']","['72857', '63068', '74064', '39338', '71544']"
201,16935,"['28863', '46961', '34687', '13840', '55311']",[''],[''],"['28863', '46961', '34687', '13840', '55311']"
202,28379,"['9053', '30601', '25635', '54075', '45988']",[''],"['28850', '864', '45264', '70146', '59657']","['9053', '30601', '25635', '54075', '45988']"
203,17009,"['54944', '47864', '61365', '71673', '42224']",[''],[''],"['54944', '47864', '61365', '71673', '42224']"
204,1486,"['71211', '33672', '24394', '7607', '46812']","['34351', '65199|30269', '7799', '68970', '57852']","['10218', '56763', '35577', '75627', '8324']","['71211', '33672', '24394', '7607', '46812']"
205,62630,"['33668', '57040', '35016', '68873', '29794']","['5626', '7651', '61440', '30482', '24679']","['8413', '17872', '27277', '21297', '17698']","['33668', '57040', '35016', '68873', '29794']"
206,34682,"['54901', '36814', '43739', '64637', '38947']",[''],[''],"['54901', '36814', '43739', '64637', '38947']"
207,6741,"['29470', '8408', '78220', '21557', '64837']","['64617', '30681', '50827', '25584', '63911']","['35987', '37029', '7298', '41261', '31010']","['29470', '8408', '78220', '21557', '64837']"
208,20852,"['10560|31190', '72614|2444', '73574', '40656', '70396']","['11159', '38758', '27698', '74084', '36997']","['49747', '47756', '77731', '12437', '47611']","['10560|31190', '72614|2444', '73574', '40656', '70396']"
209,22265,"['54785', '77536', '62264', '76237', '610']","['64706', '55874', '41548', '19191', '32812']","['30510', '24813', '22529', '6508', '13111']","['54785', '77536', '62264', '76237', '610']"
210,2244,"['49251', '70797', '15538', '7618', '39551']",[''],[''],"['49251', '70797', '15538', '7618', '39551']"
211,26396,"['64159', '1972', '37323', '1200', '15451']",[''],[''],"['64159', '1972', '37323', '1200', '15451']"
212,48796,"['34460', '12413', '71448', '44094', '74669']","['14353', '35335', '68201', '34460', '8675']","['6974', '23510', '60785', '39803', '76514']","['34460', '12413', '71448', '44094', '74669']"
213,45501,"['60338', '56181', '32136|20817', '59253', '71694']","['57387', '23047', '46688', '61810', '67736']","['27267', '3747', '28850', '52650', '30941']","['60338', '56181', '32136|20817', '59253', '71694']"
214,26445,"['33154', '7022', '38313', '23728', '66561']","['20775', '42884', '703', '30115', '7471']","['21537', '9003', '24629', '74462', '70146']","['33154', '7022', '38313', '23728', '66561']"
215,457,"['23980', '52346', '66551', '53777', '61489']","['31136', '22034', '67472|44939', '603', '33442']","['49747', '24813', '27799', '77731', '30613']","['23980', '52346', '66551', '53777', '61489']"
216,35752,"['31142', '11898', '3391', '44203', '66311|50019|63037']",[''],[''],"['31142', '11898', '3391', '44203', '66311|50019|63037']"
217,47491,"['63266', '9146', '34020', '26239', '70203']","['50803', '26850', '68349', '14040', '69881']","['52155', '17872', '44816', '78923', '73090']","['63266', '9146', '34020', '26239', '70203']"
218,43762,"['12730|52422', '3768', '64370|76611', '15493', '29572']","['34236', '67827', '9733', '50001', '47548']","['78923', '41365', '74904', '19247', '49793']","['12730|52422', '3768', '64370|76611', '15493', '29572']"
219,23599,"['65169', '23321', '45291', '51955', '59248']","['65169', '25179', '23255', '61112', '48077']","['53055', '36933', '60471', '63795', '75095']","['65169', '23321', '45291', '51955', '59248']"
220,13325,"['41176', '1808', '3308', '6601', '2226']",[''],"['52155', '77156', '49607', '56551', '36624']","['41176', '1808', '3308', '6601', '2226']"
221,3273,"['22911', '48396', '25274', '5089', '42417']",[''],[''],"['22911', '48396', '25274', '5089', '42417']"
222,2257,"['76551', '71355', '37600', '25408|68814|71268', '62797']","['40945', '27361|58037', '3743', '67174', '47590']","['23808', '8823', '73052', '45351', '23189']","['76551', '71355', '37600', '25408|68814|71268', '62797']"
223,34670,"['22063', '7217', '51095', '78323', '11128']","['17950', '43470', '41175', '20451', '8005']","['39993', '70568', '22646', '21941', '14463']","['22063', '7217', '51095', '78323', '11128']"
224,74105,"['57869', '33246', '66333', '20955', '31707']","['16403', '55602', '2130', '70774', '69878']","['39944', '11344', '49793', '54688', '13226']","['57869', '33246', '66333', '20955', '31707']"
225,35720,"['26607', '41884', '54236', '45114', '62542']","['543', '42493', '45114', '8354', '17189']","['49607', '49747', '77156', '40611', '68174']","['45114', '26607', '41884', '54236', '62542']"
226,71526,"['50656', '28334', '77894', '19091', '74779']","['50656', '71769', '22189', '12927', '66503']","['61138', '61606', '10644', '72575', '29588']","['50656', '28334', '77894', '19091', '74779']"
227,21737,"['48167', '72149', '26802', '77940', '22459']","['47740|41553', '48009', '40070', '33634', '27508']",[''],"['48167', '72149', '26802', '77940', '22459']"
228,7860,"['47314', '63357', '37005', '24098', '60623']","['69544', '23462', '16913', '17289|76324', '10049']","['78923', '44505', '56094', '69035', '70146']","['47314', '63357', '37005', '24098', '60623']"
229,41648,"['37626', '30485', '28106', '67667', '37632']",[''],[''],"['37626', '30485', '28106', '67667', '37632']"
230,1640,"['15067', '2616', '67547', '53368', '59530']","['27907', '25886', '33366', '46095', '19028']","['66910', '4331|21103', '39483', '50089', '25409']","['15067', '2616', '67547', '53368', '59530']"
231,33814,"['7809', '45991', '31164', '54509', '22448']",[''],[''],"['7809', '45991', '31164', '54509', '22448']"
232,19717,"['53444', '11084', '49502', '64179', '73465']",[''],"['21297', '70415', '7792', '1539', '40738']","['53444', '11084', '49502', '64179', '73465']"
233,78998,"['40412', '19321', '18996', '46065', '30283']","['38591', '19321', '40412', '30283', '18996']","['41057', '78923', '44505', '23510', '60699']","['40412', '19321', '18996', '30283', '46065']"
234,23643,"['75585', '14519', '5594', '6206', '72028']",[''],[''],"['75585', '14519', '5594', '6206', '72028']"
235,68712,"['13384', '17345', '11487', '4586', '21853']",[''],[''],"['13384', '17345', '11487', '4586', '21853']"
236,63739,"['9542', '583', '23617', '38178|78344', '58681']",[''],"['60699', '56094', '13226', '73806', '75851']","['9542', '583', '23617', '38178|78344', '58681']"
237,42328,"['63829', '43731', '61667', '77821', '32793']","['41104', '23044', '44229', '60237', '40018']","['72901', '74904', '77399', '37275', '68075']","['63829', '43731', '61667', '77821', '32793']"
238,23446,"['63207', '9556', '41430', '17784', '385']","['50194', '64152', '70510', '65043', '74962']","['36635', '53055', '3872', '67681', '17098']","['63207', '9556', '41430', '17784', '385']"
239,21285,"['8369', '53470', '37135', '22324', '28431']",[''],"['39944', '49273', '71919', '53055', '17702']","['8369', '53470', '37135', '22324', '28431']"
240,72959,"['66981', '68820', '37869', '42660', '43257']",[''],[''],"['66981', '68820', '37869', '42660', '43257']"
241,8548,[''],[''],[''],['']
242,21221,"['3468', '52940', '73324', '32280', '2562']","['13727', '8277', '19096', '1299', '41435']","['74904', '19247', '78923', '28280', '16531']","['3468', '52940', '73324', '32280', '2562']"
243,12564,"['50498', '9024', '64907|59588', '873|21222', '30152']","['50740', '46514', '1465', '11529', '39954']","['1936', '61928', '11901', '49282|31891', '55366']","['50498', '9024', '64907|59588', '873|21222', '30152']"
244,9577,[''],[''],[''],['']
245,29381,"['2338', '1335', '16525', '54183', '51168']",[''],[''],"['2338', '1335', '16525', '54183', '51168']"
246,19688,"['53671', '6994', '43509', '76898', '57195']","['21550', '46221', '6606', '71679', '41508']","['52106', '8823', '45947', '9691', '22831']","['53671', '6994', '43509', '76898', '57195']"
247,45195,"['70720', '62830', '66481', '3873', '33639']",[''],[''],"['70720', '62830', '66481', '3873', '33639']"
248,22775,"['61427', '62571', '7892', '53101', '33839']","['11067', '56838|42631|67909|76655|22621', '68163', '40710', '24603|44697|11877|65645|39483']","['70146', '23001', '53907|48232', '49604', '33710']","['61427', '62571', '7892', '53101', '33839']"
249,13131,"['69113', '8393', '8387', '53915', '19485']","['74719', '43349', '45791', '61628', '43925']","['56763', '8555|24640', '37029', '9745', '51106']","['69113', '8393', '8387', '53915', '19485']"
250,8861,"['54253', '52290', '50588', '51566', '59626']",[''],[''],"['54253', '52290', '50588', '51566', '59626']"
251,1680,"['72685', '61153', '78213', '59296', '2186']",[''],"['8308', '3722', '61158', '6013', '23635']","['72685', '61153', '78213', '59296', '2186']"
252,62200,"['64037', '12736', '50924', '14663', '29631']",[''],[''],"['64037', '12736', '50924', '14663', '29631']"
253,73868,"['36596', '8874', '3063', '41764', '39977']",[''],[''],"['36596', '8874', '3063', '41764', '39977']"
254,7666,"['23738', '27124', '76874', '24290', '10933']",[''],[''],"['23738', '27124', '76874', '24290', '10933']"
255,7084,"['18890', '10789', '73302', '27665', '23314']",[''],[''],"['18890', '10789', '73302', '27665', '23314']"
256,74586,"['38966', '22369', '12130', '31364', '78699']",[''],"['53055', '62539', '61606', '60699', '9719']","['38966', '22369', '12130', '31364', '78699']"
257,2335,"['32043', '10414', '16932', '44101', '22412']",[''],[''],"['32043', '10414', '16932', '44101', '22412']"
258,22877,"['17692', '462', '8698', '21030', '4622']","['34375', '16753', '17105', '58127', '57943']","['78923', '34981', '24813', '44080', '3355']","['17692', '462', '8698', '21030', '4622']"
259,68509,"['79065', '10281', '24083', '70742', '78787']",[''],"['29927', '52106', '8724', '64417', '18151']","['79065', '10281', '24083', '70742', '78787']"
260,28737,"['7160', '41468', '43366', '74194', '68151']",[''],"['29864', '49793', '60597', '60699', '39944']","['7160', '41468', '43366', '74194', '68151']"
261,66339,"['37091', '35844', '4277', '72086', '16655']","['44167', '11275', '6266', '64641', '44203']","['29012', '36722', '16946', '29161', '77545']","['37091', '35844', '4277', '72086', '16655']"
262,49803,"['23387', '51701', '7627', '36588', '56907']","['78980', '44625|37083|33407', '54276', '39030', '3399']","['14400', '34126', '6013', '49973', '63380']","['23387', '51701', '7627', '36588', '56907']"
263,14189,"['37957', '118', '51159', '39678|53941', '36487']",[''],"['78923', '60699', '31367|55762', '52019', '46392']","['37957', '118', '51159', '39678|53941', '36487']"
264,9884,"['61498', '6090', '2714', '20470', '46063']",[''],"['77156', '1800', '49607', '56551', '49747']","['61498', '6090', '2714', '20470', '46063']"
265,67630,"['56185', '10963', '55709', '10840', '34604']",[''],"['50068', '69103', '62718', '68680', '59654']","['56185', '10963', '55709', '10840', '34604']"
266,11407,[''],[''],[''],['']
267,8384,"['73827|11822', '60045|59020|52039', '67601', '18443', '12996']",[''],[''],"['73827|11822', '60045|59020|52039', '67601', '18443', '12996']"
268,75345,"['21026', '43084', '19296', '22496', '25385']","['65697', '78176', '26232', '11306', '25847']","['13226', '60699', '76222', '3547', '56094']","['21026', '43084', '19296', '22496', '25385']"
269,45841,"['21587', '73877', '23067', '10932', '14006']","['63558', '47467', '40798', '33456', '71165']","['78923', '24813', '44505', '77731', '59114']","['21587', '73877', '23067', '10932', '14006']"
270,63764,"['64967', '74716', '78816', '72386', '27500']",[''],[''],"['64967', '74716', '78816', '72386', '27500']"
271,70197,"['59823|11350', '41899|24338', '59437|74700', '41374|4448', '66603|59240']",[''],[''],"['59823|11350', '41899|24338', '59437|74700', '41374|4448', '66603|59240']"
272,32109,"['20239', '77288', '37502', '41398', '44866']",[''],[''],"['20239', '77288', '37502', '41398', '44866']"
273,30434,"['69062', '37119', '36062', '32675', '31986']","['54271', '36234', '18047', '62426', '55412']","['28850', '11321', '66277', '63284', '19912']","['69062', '37119', '36062', '32675', '31986']"
274,45358,"['73688', '28143', '26786', '58234', '30299']",[''],"['11812', '56094', '74958', '75345', '23808']","['73688', '28143', '26786', '58234', '30299']"
275,52721,"['44588', '54288', '21193', '17345', '22054']",[''],[''],"['44588', '54288', '21193', '17345', '22054']"
276,58820,"['65806', '23641', '44435', '52221', '18521']",[''],"['27267', '47802', '44505', '40807', '39733']","['65806', '23641', '44435', '52221', '18521']"
277,70803,"['56448', '76451', '5673', '20218', '63341']",[''],[''],"['56448', '76451', '5673', '20218', '63341']"
278,50338,"['59338', '75401', '3760', '32060', '7636']",[''],[''],"['59338', '75401', '3760', '32060', '7636']"
279,66493,"['39767', '19088', '75506', '52755', '47224']","['21989', '72514', '38570', '10165', '17305']","['49273', '38453', '74904', '29864', '25409']","['39767', '19088', '75506', '52755', '47224']"
280,52519,"['1884', '45513', '77940', '8344', '22459']","['18731', '11549', '42966', '14509', '34703']","['78923', '44816', '9610', '51500|47151|33827', '44505']","['1884', '45513', '77940', '8344', '22459']"
281,37378,"['13975', '61464', '15265', '24085|31237', '17600']",[''],"['49747', '12277', '8324', '41261', '64768']","['13975', '61464', '15265', '24085|31237', '17600']"
282,49952,[''],[''],[''],['']
283,75882,"['414', '36596', '73868', '3063', '49811']",[''],"['78084', '34338', '23808', '74965', '15348']","['414', '36596', '73868', '3063', '49811']"
284,7445,[''],[''],[''],['']
285,17850,"['64423', '66251', '21391', '13238', '48465']","['32014', '17275', '29906', '5060', '25897']","['39944', '74904', '8724', '50077', '49793']","['64423', '66251', '21391', '13238', '48465']"
286,42566,"['29885', '63441', '11045', '78975', '55308']",[''],[''],"['29885', '63441', '11045', '78975', '55308']"
287,29708,[''],[''],[''],['']
288,46476,"['14773', '67106', '21473', '46043', '39127']",[''],"['28175', '44826|65650', '28157', '30510', '76251']","['14773', '67106', '21473', '46043', '39127']"
289,14470,"['44273', '222', '62296', '55091', '56030']",[''],[''],"['44273', '222', '62296', '55091', '56030']"
290,43679,"['3468', '73833', '48724', '67309', '188']",[''],[''],"['3468', '73833', '48724', '67309', '188']"
291,40279,"['11496', '39279', '41673', '40972', '45268']",[''],"['68716', '3471', '41057', '35987', '60785']","['11496', '39279', '41673', '40972', '45268']"
292,24002,"['50549', '74449', '53755', '67995', '77369']",[''],[''],"['50549', '74449', '53755', '67995', '77369']"
293,68253,"['46556', '74414', '29051', '54253', '60378']","['46556', '6908', '75808', '51566', '53358']","['76514', '36933', '49166', '29864', '35987']","['46556', '74414', '29051', '54253', '60378']"
294,15581,"['45332', '20936', '16067', '12962', '54753|347']",[''],[''],"['45332', '20936', '16067', '12962', '54753|347']"
295,73552,"['44119', '20390', '35945', '11346', '18042']","['35945', '24341', '29919', '16294', '44512']","['70146', '59657', '44092', '23661', '27695']","['35945', '44119', '20390', '11346', '18042']"
296,38164,"['37047', '36397', '44927', '51688', '9517']","['59837', '48213|22615', '579', '76892|76938', '35040']","['70146', '31853', '67155', '23005', '76620']","['37047', '36397', '44927', '51688', '9517']"
297,58779,"['59003', '6970', '27294', '27908', '57480']","['8875|19554', '56019', '68477|16291', '29016', '26442|45562|69477']","['23001', '9560', '69324|49121', '7739', '35755']","['59003', '6970', '27294', '27908', '57480']"
298,57464,"['11714', '37909|20145', '21090', '77380', '23596']","['64554', '63064|69026', '3232', '4713', '32940']",[''],"['11714', '37909|20145', '21090', '77380', '23596']"
299,56827,"['47860', '78335', '29301', '46817', '21615']",[''],"['60699', '78923', '44505', '44801', '14400']","['47860', '78335', '29301', '46817', '21615']"
300,76331,"['39330', '13616', '49574', '66242', '56441']","['38088|49073|60179|65219|39623', '78770', '47017', '13374', '54903']","['60699', '68047', '56094', '5704|28486', '6584']","['39330', '13616', '49574', '66242', '56441']"
301,12568,"['29451', '43672', '11584', '49962', '48274']",[''],[''],"['29451', '43672', '11584', '49962', '48274']"
302,63107,"['1723', '1884', '22459', '72149', '50859']","['43362', '68645', '24264|74041|50985', '30477', '4980']","['78923', '28850', '31367|55762', '27267', '36753|13241']","['1723', '1884', '22459', '72149', '50859']"
303,39971,"['61297', '30497', '35114', '25905', '54140']","['26091', '66523', '76139', '16575', '64884']","['74904', '60597', '39944', '28496', '49793']","['61297', '30497', '35114', '25905', '54140']"
304,24776,[''],[''],[''],['']
305,65811,"['72896', '51443', '41358', '810', '25274']",[''],[''],"['72896', '51443', '41358', '810', '25274']"
306,77175,"['25756', '67765', '4052', '45261', '74387']",[''],[''],"['25756', '67765', '4052', '45261', '74387']"
307,53717,"['17049', '26575', '12974', '64795', '70400']","['61951', '62359', '21048', '52762', '56803']","['36068', '36576', '16609', '33533', '51771']","['17049', '26575', '12974', '64795', '70400']"
308,50340,"['43888', '45785', '13600|58514', '2923', '15386']",[''],[''],"['43888', '45785', '13600|58514', '2923', '15386']"
309,77554,"['63610', '59809', '19014', '62101', '60037']",[''],"['50122', '1075', '24573', '64099', '11901']","['63610', '59809', '19014', '62101', '60037']"
310,63279,"['15417', '74110', '31086', '4828', '13206']",[''],"['453', '73090', '29012', '70146', '49604']","['15417', '74110', '31086', '4828', '13206']"
311,59821,"['75400', '47837', '11821', '51688', '32502']","['12448', '17648', '44568|46711|41695', '77703', '31917']","['24813', '78923', '53055', '64768', '27267']","['75400', '47837', '11821', '51688', '32502']"
312,12725,"['75326', '28890', '53749', '42547', '42222']","['59826', '62538', '54974', '10167', '29367']","['78084', '60699', '37029', '59460', '61112']","['75326', '28890', '53749', '42547', '42222']"
313,1235,"['34218', '24240', '41053', '32007', '37428']",[''],[''],"['34218', '24240', '41053', '32007', '37428']"
314,34899,"['65555', '36505', '6587', '18133', '43212']",[''],[''],"['65555', '36505', '6587', '18133', '43212']"
315,37797,"['20286', '7332|49319', '74553', '19755', '55180']","['23961', '49186', '20392', '8666', '65439']","['60699', '56094', '73037', '57888', '23635']","['20286', '7332|49319', '74553', '19755', '55180']"
316,29368,"['54691', '70718', '52201', '48093', '9503|69433']","['74081', '4665', '9149', '51099', '26188']","['35755', '9610', '9003', '46819', '3757']","['54691', '70718', '52201', '48093', '9503|69433']"
317,11378,"['64962|39990', '72900', '32111', '68828', '55211']",[''],"['78923', '24813', '27267', '49793', '45164']","['64962|39990', '72900', '32111', '68828', '55211']"
318,59092,"['17969', '55902', '23803', '34673', '60846']",[''],"['29864', '70343', '24813', '28850', '13226']","['17969', '55902', '23803', '34673', '60846']"
319,5362,"['33677', '66646', '20888', '51920', '25693']",[''],"['24813', '49166', '78923', '44816', '50066']","['33677', '66646', '20888', '51920', '25693']"
320,47933,"['53380', '10704', '62714', '42723', '71075']",[''],"['1800', '43007', '30613', '40660', '35366']","['53380', '10704', '62714', '42723', '71075']"
321,68560,"['45772', '60855', '37618', '46242', '12734']",[''],[''],"['45772', '60855', '37618', '46242', '12734']"
322,57628,"['44567', '20448', '60331', '47578', '6132']",[''],[''],"['44567', '20448', '60331', '47578', '6132']"
323,11682,"['53784', '72753', '77859', '30741', '18162']","['8014', '77879', '73736', '30657|33070', '1307']",[''],"['53784', '72753', '77859', '30741', '18162']"
324,18601,"['45513', '22459', '17326', '1884', '47191', '77940']",[''],[''],"['45513', '22459', '17326', '1884', '47191', '77940']"
325,58566,"['19714', '10460', '76261', '59209', '51211']",[''],"['29012', '47939|36625', '3814|78593', '62659', '36416']","['19714', '10460', '76261', '59209', '51211']"
326,29217,"['20931', '6510', '52985', '3286', '23098']",[''],"['29588', '16834', '37863', '63924', '70674']","['20931', '6510', '52985', '3286', '23098']"
327,64901,"['4833', '66553', '5739', '14314', '77255']","['68529', '12132|41768', '78877', '30558', '21465']","['24813', '78923', '29012', '17872', '25161']","['4833', '66553', '5739', '14314', '77255']"
328,6359,"['53376', '43897', '53600', '63252', '2932|4100']",[''],[''],"['53376', '43897', '53600', '63252', '2932|4100']"
329,54801,"['9648', '69520', '41461', '28344', '71025']",[''],"['60699', '13226', '19517', '50131', '45351']","['9648', '69520', '41461', '28344', '71025']"
330,66017,"['71444', '64579', '26881', '69254', '18870']",[''],"['52106', '49607', '60699', '8823', '45947']","['71444', '64579', '26881', '69254', '18870']"
331,28302,"['19347', '54040', '22464', '78189', '73975']","['55251', '63723', '30104', '57922|41522', '64564']","['60699', '44505', '13226', '75851', '56094']","['19347', '54040', '22464', '78189', '73975']"
332,19235,"['22820', '78312', '75851', '11307', '43483']",[''],"['47756', '78923', '31367|55762', '36753|13241', '62448']","['22820', '78312', '75851', '11307', '43483']"
333,24078,"['22719', '8988', '54574', '69115', '24569']",[''],[''],"['22719', '8988', '54574', '69115', '24569']"
334,7924,"['25600', '18123', '11821', '44567', '57628']","['66481', '59912', '20852', '27698', '15711']","['47939|36625', '19274', '56551', '34736', '73213']","['25600', '18123', '11821', '44567', '57628']"
335,2993,"['29794', '61733', '73384', '22516', '45663']",[''],[''],"['29794', '61733', '73384', '22516', '45663']"
336,71202,"['9127', '55411', '78813', '52570', '27096']",[''],[''],"['9127', '55411', '78813', '52570', '27096']"
337,38543,"['29271', '5288', '42792', '77003', '58452']","['12247', '41870', '19031', '23724', '1013']","['70146', '19938', '16609', '62305', '54331']","['29271', '5288', '42792', '77003', '58452']"
338,9943,"['70022', '74019', '69102', '64942', '27743']",[''],[''],"['70022', '74019', '69102', '64942', '27743']"
339,24706,"['66347', '26170', '10063', '55209', '45261']",[''],[''],"['66347', '26170', '10063', '55209', '45261']"
340,17298,"['40296', '51923', '55664', '43594', '9328']",[''],[''],"['40296', '51923', '55664', '43594', '9328']"
341,49279,"['38622', '21540', '13702', '2657', '38706']",[''],"['78923', '44505', '14400', '61606', '75851']","['38622', '21540', '13702', '2657', '38706']"
342,7129,"['72852', '51993', '11465', '51328', '15538']",[''],[''],"['72852', '51993', '11465', '51328', '15538']"
343,54586,"['59131', '67469', '36684', '44345', '28300']","['68411', '57275', '30248', '64973', '23517']","['28496', '70146', '49273', '28850', '44092']","['59131', '67469', '36684', '44345', '28300']"
344,55270,"['16096', '69313', '77119', '24151', '53675']",[''],"['78923', '44505', '74904', '49793', '72989']","['16096', '69313', '77119', '24151', '53675']"
345,16937,"['65681', '38509', '24570', '43144', '23872']",[''],"['9691', '52106', '41161', '45947', '1800']","['65681', '38509', '24570', '43144', '23872']"
346,44508,"['52771', '20473', '71571', '18919', '23480']",[''],"['22529', '61606', '6508', '68047', '19038']","['52771', '20473', '71571', '18919', '23480']"
347,28976,"['41759', '36316', '16355', '60493', '13266']",[''],"['49747', '27283', '49607', '78084', '17098']","['41759', '36316', '16355', '60493', '13266']"
348,9612,"['11302', '66230', '27922', '29361', '18890']","['21635', '49770', '63092', '26144', '23018']","['64768', '49747', '39918', '78084', '60597']","['11302', '66230', '27922', '29361', '18890']"
349,43313,"['576', '35281', '26471', '76849', '41652']","['28157', '69367', '3169', '30482', '54556']","['36960', '59480', '1539', '6729', '77545']","['576', '35281', '26471', '76849', '41652']"
350,46237,"['55679', '60055', '52310', '66013', '74192']",[''],[''],"['55679', '60055', '52310', '66013', '74192']"
351,14883,"['76760', '73107', '57811', '4063', '49700']",[''],"['78923', '17872', '44816', '45298', '9610']","['76760', '73107', '57811', '4063', '49700']"
352,71036,"['76399', '48812', '45971', '2537', '2983']","['3243', '1758', '42797', '15504', '22970']","['7925', '1368', '78923', '5664', '37713']","['76399', '48812', '45971', '2537', '2983']"
353,71886,"['58463', '45208', '73963', '1258', '41043']",[''],[''],"['58463', '45208', '73963', '1258', '41043']"
354,70372,[''],[''],[''],['']
355,14750,"['50470', '75966', '4593', '55073', '40183']","['64438', '70511', '25608', '61884', '38612']","['70146', '19938', '11576', '34043', '49333']","['50470', '75966', '4593', '55073', '40183']"
356,52053,"['50137', '8147', '4523|10528', '31953', '33318']","['46611', '57881', '14356', '53022', '10032']","['2958', '19524', '64996', '61327', '53916']","['50137', '8147', '4523|10528', '31953', '33318']"
357,51638,"['78813', '22837', '30568', '23653', '93']","['33062', '61913', '47342', '5487', '25469']","['64099', '24813', '56917', '68530', '74569']","['78813', '22837', '30568', '23653', '93']"
358,61875,"['55198', '53479', '4173', '48421', '28877']","['53094', '6698', '56188', '1823', '58942']","['28850', '59657', '62219', '78923', '19912']","['55198', '53479', '4173', '48421', '28877']"
359,42039,"['56998', '64038', '5284', '72720', '25710']","['73674', '37220', '50208', '24643', '49720']","['53055', '32568', '60785', '76636', '29275']","['56998', '64038', '5284', '72720', '25710']"
360,25598,"['35381', '44097', '32072', '78334', '48860']",[''],[''],"['35381', '44097', '32072', '78334', '48860']"
361,23417,"['73418', '33556', '31709', '71374', '19314']","['12444', '33842', '58140', '36279', '26153']","['27267', '28850', '3747', '17872', '2533']","['73418', '33556', '31709', '71374', '19314']"
362,30446,"['255', '1048', '21325', '17511', '5790']",[''],"['66396', '13226', '59305', '56094', '34208']","['255', '1048', '21325', '17511', '5790']"
363,27104,"['31865', '69014', '44766', '20705', '64533']","['31865', '69014', '67389', '36735', '4574']","['23808', '60699', '44505', '56094', '74965']","['31865', '69014', '44766', '20705', '64533']"
364,61715,"['18130', '56858', '33938', '25338', '9779']",[''],[''],"['18130', '56858', '33938', '25338', '9779']"
365,72826,"['61690', '54417', '70314', '4550', '13817']",[''],"['32191', '9691', '29927', '13746', '68556']","['61690', '54417', '70314', '4550', '13817']"
366,7415,"['20441', '60599', '21829', '17066', '66888']",[''],"['52106', '49607', '49793', '45947', '60699']","['20441', '60599', '21829', '17066', '66888']"
367,11688,"['27105|22456', '21025|49379|77243|23828|1117|27293|468|53013', '39234', '59316', '68472|55836']",[''],[''],"['27105|22456', '21025|49379|77243|23828|1117|27293|468|53013', '39234', '59316', '68472|55836']"
368,12209,"['7636', '5953', '17498', '32060', '61852']","['38889|51406|34110', '40448', '23623', '52430', '7266']","['78923', '21133', '31367|55762', '27340', '78505']","['7636', '5953', '17498', '32060', '61852']"
369,79016,"['29635', '24947', '440', '27951', '19838']",[''],[''],"['29635', '24947', '440', '27951', '19838']"
370,6019,"['44567', '20448', '57628', '60331', '47578', '6132']",[''],[''],"['44567', '20448', '57628', '60331', '47578', '6132']"
371,14436,"['22057', '30058', '6377', '39328', '54092']",[''],[''],"['22057', '30058', '6377', '39328', '54092']"
372,75422,"['68550', '31416', '23134', '58102', '73359']",[''],[''],"['68550', '31416', '23134', '58102', '73359']"
373,10482,"['4369|23468', '77620|57808', '35748|34867', '45285', '63135']","['56227', '33047', '57970', '46282', '55468']",[''],"['4369|23468', '77620|57808', '35748|34867', '45285', '63135']"
374,24686,[''],[''],[''],['']
375,50313,"['16309', '47300', '40700', '12409', '57537']","['58022', '9960', '37028', '36375', '10304']","['70146', '44505', '2942', '44816', '55466']","['16309', '47300', '40700', '12409', '57537']"
376,58067,[''],[''],[''],['']
